New Code,OP
OP2938,"Establish mechanism to leverage SSC's Accessibility, Accomondations and Adaptive Computer Technology (AAACT) Program to increase accessibility of IT solutions"
OP2939,Identify and document the requirements for accessible formats
OP2940,Train employees on accessibility requirements
OP2941,Establish mechanism for conformity to official languages and accessibility requirements
OP2942,Implement processes to ensure accessibility features are active on IT solutions and equipment.
OP2943,Create user feedback channels and establish user groups to validate and review accessibility of departmental information
OP1970,Define DG strategy and approach
OP2079,Review and approve DG strategy and approach
OP1971,Define governance structure
OP2080,Establish DG working committees
OP1972,Define data governance roles and responsibilities
OP2081,Assign roles and responsibilities to DG stakeholders
OP1973,Establish DG processes
OP2082,Integrate DG processes in DM initiative
OP2083,Establish DG routines for operational support
OP1977,Establish operational DG funding model 
OP2084,Review and approve DG funding model
OP1978,Establish program review and approval processes
OP2085,Approve the program review and approval processes
OP2086,Communicate program review and approval processes
OP1979,Define an issue management process
OP2087,Establish escalation policies and procedures
OP2088,Approve the issue management and escalation process
OP2089,Implement issue log
OP1980,Govern identification and usage of authoritative data domains
OP1981,"Govern models, glossaries, identifiers, classifications, and relationships"
OP2849,Define detailed roles and responsibilities for the released / published data
OP2874,Define high level roles and responsibilities for the released / published data
OP1320,Develop AI ethical principles
OP1321,Develop a code of ethics for the use of AI
OP1322,Define ethics guidelines for business term definitions and value domains
OP1323,Define an enterprise definition of AI (Artificial Intelligence)
OP1325,Define internal AI governance Structures
OP1326,Monitor participation of top management for AI governance
OP1327,Assign oversight accountability for AI ethical risk management
OP1328,Define roles and responsibilities for the ethical deployment of AI
OP1329,Define roles and responsibilities for the management of ethical AI risks
OP1330,Train project team on ethical AI
OP1331,Communicate project/purpose of processing to analytics team members
OP1332,Attest that all analytics team members have been informed of purpose of processing
OP1848,Define targeted usage and purpose of AI solution
OP2444,"Define goals related to the alignment of the project's scope, nature, context, and purpose"
OP1849,Approve the targeted purpose of AI solution prior to usage
OP2445,Communicate the scope and goals of the AI system
OP2292,"Identify ""misuse cases"""
OP1850,Define new AI / AA targeted purpose  
OP1851,Approve the new AI/AA targeted purpose prior to the usage
OP1852,Monitor alignment between targeted purposes and usage
OP1865,Assess appropriateness of targeted usage
OP1866,Define business objectives and business requirements of project
OP1867,Define KPIs and success criteria of project
OP1869,Approve the business objectives and requirements of the project
OP1870,Approve the KPIs and Success Criteria of the project
OP1868,Define design and operational metrics of project
OP1871,Approve the design and operational metrics of the project
OP1872,Periodically measure operational metrics
OP1873,Periodically review operational metrics
OP1874,Approve the targeted model type by the stakeholders
OP1875,Conduct impact assessment of change requests on project objectives
OP1876,Approve the model changes based on impacts
OP2446,Document detected and/or reported deviations in the usage of the AI system
OP2447,Communicate detected and/or reported deviations in the usage of the AI system
OP2165,Periodically validate alignment between objectives and model development
OP2166,Assess developed solutions against targeted outcomes
OP2614,Communicate assessment results of developed solution against targeted outcomes to stakeholders
OP2618,Publish system effectiveness and efficiency
OP2542,Establish monitoring and review of key project activities and controls
OP2543,Establish an escalation mechanism for project-related issues
OP1333,Define enterprise directions and guidelines for AI governance
OP1846,Identify in-scope requirements related to AI / AA purposes
OP1847,Enterprises define acceptable usage of AI / AA models
OP1334,Ensure alignment between ethical risk management and national and international guidance or standards
OP1335,Monitor project compliance to the directive on automated decision-making
OP2400,Monitor project compliance to TBS policies and directives
OP1336,Establish a committee to define commercial objectives of AI
OP1337,Define commercial objectives of using AI
OP1338,Assess risks related to using AI model 
OP1339,Assess AI commercial objectives against related risks
OP1340,Define guidelines and procedures to conduct a cost-benefit analysis for AI
OP2374,Conduct cost-benefit analysis
OP2385,Create a business case for the project
OP2454,Establish reporting requirements and processes for the project
OP2315,Identify the internal policies and directives applicable to the project
OP2316,Demonstrate compliance with internal policies and directives
OP2455,Establish disclosure requirements and protocols for the project
OP1341,Identify data stakeholders
OP1343,Identify end-user analytics stakeholders
OP1342,Assess the information needs of different AI stakeholders
OP2225,Define end-user problem statements
OP2422,Identify and list potentially affected stakeholders
OP2384,Document system purposes and usage context
OP2226,Validate system purpose and usage context with end-users
OP2291,Validate solution / system prototypes with end-users
OP2457,"Periodically report to the board on project progress, issues, and risks"
OP2458,Approve the board on critical and/or sensitive aspects of the project
OP1344,Define stakeholder engagement strategy
OP1346,Identify most effective measures in building trust with stakeholders
OP1347,Develop communication policy regarding AI use disclosure
OP1348,"Adjust the communication strategy based on the audience, purpose & context"
OP1349,Communicate the use of AI in products &/or services to stakeholders
OP1324,Establish an AI Governance committee
OP1853,Define roles and responsibilities throughout the Analytics/AI lifecycle
OP2448,Define responsibilities and accountabilities (RACI) related to the project
OP1854,Train personnel for AI target purposes
OP2456,Appoint an Ethics advisor/officer for the project
OP1877,Create a governance responsibility matrix for the project
OP2559,Train project team on model selection and quality implications 
OP1878,Approve the governance responsibility matrix for the project
OP1350,Identify competent personnel on ethical considerations
OP1352,Communicate designated individual(s) contact information throughout the organization
OP1353,Demonstrate that outcome accountability is assigned to individual(s)
OP1354,Establish feedback channels
OP1355,Establish decision review channels
OP1356,Rectify inaccurate personal information upon customer request
OP1357,Establish a committee to manage communication channels
OP1358,Communicate data ingested by AI system to AI subject
OP1359,Communicate types of algorithms employed to AI subject
OP1360,Communicate categories into which people can be placed
OP1361,Communicate system features driving decision outcomes
OP1362,Map AI Operating Practices to analytics processes
OP1363,Map privacy operating practices to AI processes
OP1364,Implement privacy operating practices within AI processes
OP1365,Monitor privacy operating practices within AI processes
OP1366,Map data security operating practices to AI processes
OP1367,Implement data security operating practices within AI processes
OP1368,Monitor data security operating practices within AI processes
OP1519,Develop and update organizational cloud policy
OP1520,Define guidelines and criteria for determining the types of applications that can be used in cloud computing
OP1521,Define guidelines for the usage of cloud computing
OP1522,Define procedures and authorities to approve the use of cloud computing
OP1523,Define authorities and responsibilities with respect to the use of cloud computing
OP1524,Define acceptable usage of cloud computing
OP2883,Establish cloud first approach under the Enterprise Architecture framework 
OP1525,Appoint members of the Cloud Committee
OP1526,Define internal governance structures & processes required for Cloud deployment
OP1527,Monitor participation of top management for cloud governance
OP1528,Examine intended transition to cloud computing  
OP1529,Define guidelines and procedures to request a transition to cloud computing
OP1530,Define principles of engagement with cloud computing provider  
OP1531,Integrate cloud computing provider requirements in contractual agreement
OP1532,Define guidelines and procedures to request usage of cloud computing
OP1533,Define specific intended usage of cloud computing
OP1534,Approve the intended usage of cloud computing
OP1535,Identify Cloud stakeholder audience
OP1536,Assess the information needs of different cloud stakeholders
OP1537,Identify analytics stakeholders
OP1538,Define stakeholder explanation strategy
OP1539,Identify features that have the greatest impact on stakeholders
OP1540,Identify most effective measures in building trust with stakeholders
OP1541,Develop communication policy regarding Cloud use disclosure
OP1542,"Adjust the communication strategy based on the audience, purpose & context"
OP1543,Communicate the use of Cloud in products &/or services to stakeholders
OP1545,"Monitor changes in external laws, policies, and guidelines"
OP1546,Trigger review of alignment between ethical operating procedures and amended laws and regulations
OP1547,Update ethic/fairness policies to align with modified laws or regulations
OP1548,Communicate modification of ethic/fairness policies to relevant stakeholders
OP1549,Map Cloud Operating Practices to analytics processes
OP2847,Document business context of the project 
OP2848,Document functional requirements
OP2862,Assess need for metric assurance
OP2863,Establish collaboration with assurance providers
OP2864,Assess reliability of assurance providers
OP2857,Define expected outcomes for metric formulas and computations
OP2853,Validate input data for metric calculation
OP2854,Validate metric formulas and computations
OP2855,Classify metric information
OP2856,Implement data protection methods for metric information
OP2774,Designate business process owner for metric
OP2775,Identify all stakeholder groups involved in metric calculation
OP2776,Define roles and responsibilities for metric calculation
OP2782,Determine data requirements for metric calculation
OP2777,Define step-by-step metric calculation process
OP2778,Assign ownership for each substep of metric calculation
OP2779,Define data source and provider for metrics
OP2780,Determine error threshold for metrics
OP2781,Obtain approval for metric calculation process
OP2860,Determine report layout for metrics
OP2861,Establish process for continuous improvement and feedback incorporation
OP2858,Define reporting information and layout for each metric audience
OP2859,Validate relevance of metric for intended audience
OP2783,Define review process for metric calculation
OP2784,Identify reviewers for metric calculations
OP2785,Review calculation results for each metric
OP2786,Obtain approval for final results of metric calculations
OP2755,Define the list of metrics relevant for a context or objective
OP2756,Validate the appropriateness of metrics for a context or objective
OP2757,Obtain approval for metric usage
OP2758,Establish process and triggers to update metrics
OP2759,Approve request to update metrics
OP2762,Establish process document for developed metrics
OP9,Define business glossary management processes
OP1,Define guidelines and procedures to manage the business glossary
OP2,Define guidelines and procedures to use the business glossary in a corporate setting
OP3,Conduct periodic assessment of the corporate alignment on the business glossary
OP4,Define the role structure for managing the business glossary
OP5,Manage a corporate list of business glossary stakeholders
OP6,Assign business glossary roles
OP2753,Designate data owner for data sources 
OP74,Define data owner responsibilities
OP75,Designate business data element owner
OP2375,Create a Data RACI for the project
OP2376,Review and approve the Data RACI for the project
OP1892,Attest ownership for all AI data elements 
OP7,Implement an enterprise business glossary
OP1739,Integrate workflows into the business glossary
OP1736,Create a roadmap for new business data elements
OP2377,"Create a list of the business terms used ""In the lab"" and ""In the field"""
OP2378,Review and validate business terms related to a project
OP1718,Establish guidelines for business data element names and definitions 
OP1715,Identify key business data elements
OP10,Request creation of new business term (in the business glossary)
OP11,Request definition and approval of business terms
OP12,Revise new business term requests
OP13,Approve the addition of new business terms to the business glossary
OP1956,Document business term definitions
OP14,Approve business definitions for data
OP2069,Map business definitions to taxonomies
OP15,Define guidelines to avoid unintended bias in business term definitions
OP16,Validate that business term definitions are free of unintended bias
OP17,Periodically examine that business term definitions are free of unintended bias
OP18,Establish business term definitions for ethical sensitive data
OP19,Approve the defined business term definitions for ethically sensitive data
OP20,Communicate approved business definitions for ethical sensitive data
OP1693,Designate metadata management stakeholders
OP1690,Establish data definitions & valid values
OP1740,Implement metadata repository
OP1747,Establish metadata quality control
OP1694,Implement tracking mechanisms for metadata
OP2808,Monitor compliance to the Standard on Metadata
OP1954,Establish a data catalog
OP2059,Define basic metadata to be captured for data elements
OP2191,Automate data catalog capabilities
OP2192,Establish data catalog interoperability
OP1966,Monitor business metadata capture
OP160,Define the metadata scope to be captured during model development
OP161,Capture required metadata to explain model decisions
OP162,Approve captured metadata for explainability
OP163,Define metadata model
OP1958,Define metadata model for DM initiative
OP164,Govern metadata model
OP165,Monitor gaps in metadata model usage
OP166,Establish the capability to resolve metadata model usage issues
OP2680,"Implement mechanisms and tools to manage, maintain and/or link to organizational metadata models"
OP2681,Review and update metadata models periodically
OP2682,Record and track changes to metadata models
OP2807,Validate metadata requirements for systems that manage information resources
OP2806,Validate that information  systems adhere and comply to organizational requirements
OP2803,Define metadata requirements for systems that manage information resources
OP234,Demonstrate that source metadata is available
OP235,Validate access to required transformation metadata
OP236,Extract metadata included in AML data lineage
OP2098,Analyze data retention regulatory requirements
OP2099,Analyze data retention business requirements
OP2100,Assess business needs against regulatory requirements
OP2101,Establish data retention schedules
OP2102,Define guidelines for operationalizing retention schedules
OP2103,Define roles and responsibilities for the data retention policy
OP2104,Define success criteria for data retention
OP2105,Define data retention policy
OP2106,Approve the data retention policy
OP2107,Socialize data retention policy
OP2108,Assign roles & responsibilities for data retention policy
OP2109,Define triggers for data retention policy update
OP2110,Update data retention policy
OP2959,Define and document retention periods for all data.
OP2960,Create and maintain a data retention schedule
OP2961,Establish a process for regularly reviewing and updating the data retention policy and schedule
OP2962,Train staff on the data retention policy and schedule
OP2963,Monitor compliance with the data retention policy and schedule
OP2380,Analyze data retention requirements (In the lab and In the field)
OP2111,Assess the current state of data retention
OP2112,Analyze gaps between the current state and the data retention 
OP2113,Establish prioritization criteria for data retention
OP2114,Prioritize implementation activities for data retention policy
OP2115,Establish roadmap for data retention policy implementation
OP3001,Establish procedures to review and approve changes in the retention periods
OP2116,Identify dependencies for data in retention scope
OP2199,Create a data retention plan for project data (In the Lab and In the field)
OP2202,Review and approve project's data retention management plan
OP2117,Attest that timestamps exist for acquired or created data
OP2118,Define retention monitoring framework
OP2119,Define processes for retention monitoring 
OP2131,Define procedures for retention monitoring
OP2120,"Design metadata management solutions for data retention, lineage, and traceability"
OP2121,"Implement metadata management solutions for data retention, lineage, and traceability"
OP2122,Verify timely resolution of data retention issues
OP2200,Periodically review project data against retention schedules
OP2123,Periodically review records against retention schedules
OP2124,Identify records to be retained beyond schedule
OP2125,Define guidelines and procedures to dispose of data
OP2132,Define data disposal sessions
OP2357,Develop data disposal processes
OP2126,Design and develop data disposal processes
OP2127,Approve the data disposal methods
OP2128,Define roles and responsibilities for data disposal implementation
OP2129,Implement data disposal processes
OP2130,Approve the data disposal sessions
OP2964,Develop and implement procedures for securely disposing of data when the retention period has expired
OP2965,Implement retention periods for all information and data
OP2966,Establish retention and disposition periods for information
OP2967,Develop a data retention and disposal guidelines
OP2969,Define roles and responsibilities for managing compliance in the disposal process
OP2970,Provide training on compliance requirements to all personnel involved in the disposal process
OP2971,Document and report all disposals in accordance with regulations
OP2972,Establish accountabilities and monitor application of disposition authorization
OP2958,Develop processes for archiving data and information
OP2973,Establish processes to identify and preserve any records that could have historical or achival importance.
OP2974,Establish accountabilities and monitor application of disposition authorization
OP2975,Develop process to transfer archival records to Library & Archives Canada
OP2985,Define criteria to identify information of business value
OP2986,Establish access to departmental information identified as archival
OP2987,Transfer information to Library and Archives Canada per disposition plan
OP76,Define data classification guidelines and procedures
OP77,Define roles and responsibilities related to data classification
OP2022,Define data handling procedures for classification levels
OP2071,Define business rules for consistent data classification
OP2072,Define business rules for classification of data element combinations
OP2073,Define business rules for unclassified data management
OP2074,Define change management guidelines for data classification
OP2077,Automate data classification
OP2078,Validate automated classification processes
OP78,Define data classification schema 
OP1957,Establish data identification scheme
OP2070,Establish data taxonomy schemes
OP79,Establish provisions for personnel training on data classification
OP2075,Implement classification schemes across data assets
OP80,Implement mechanisms to monitor data classification usage
OP2076,Modify data classification
OP81,Audit compliance to data classification schema periodically
OP128,Access to data classification
OP129,Define enterprise guidelines for accessing data classification
OP130,Attest that project resources have access to enterprise data classification
OP2944,Develop data taxonomy mapping and classification structures
OP2945,Implement data taxonomy and classification structures across departmental activities
OP2946,Establish mechanism for data taxonomy and classification maintenance
OP2947,Train employees on data taxonomy and classification structures
OP2948,"Establish mechanism for managing, storing, searching, and retrieving information and data of all formats."
OP2949,Align taxonomies to enterprise-wide standards
OP2950,Establish a process for mapping existing taxonomies to the enterprise-wide standards
OP2951,Monitor the taxonomies to ensure compliance with the enterprise-wide standards
OP82,"Define ""Corporate Information Asset"" categories and classification procedures"
OP83,"Define ""restricted data"" categories and classification procedures"
OP84,"Define ""Privacy Level"" attributes and classification guidelines"
OP85,"Manage ""Privacy Level"" attributes in Business Glossary"
OP86,"Periodically or trigger a review of ""Privacy Level"" classification"
OP87,"Tag data (in systems) with ""Privacy Level"" attribute"
OP88,"Define ""Ethical Sensibility"" attributes and classification guidelines"
OP89,"Manage ""Ethical Sensibility"" attributes in Business Glossary"
OP90,"Periodically or trigger a review of ""Ethical Sensibility"" classification"
OP91,"Tag data (in systems) with ""Ethical Sensibility"" attribute"
OP92,"Identify data that must be managed as ""Medical Data"""
OP93,"Define ""Medical Data"" attributes and classification guidelines"
OP94,"Manage ""Medical Data"" attributes in Business Glossary"
OP95,"Periodically or trigger a review of ""Medical Information"" classification"
OP96,"Tag data (in systems) with ""Medical Information"" attribute"
OP97,"Identify data that must be managed as ""Special category of data"""
OP98,"Define ""Special categories of data"" attributes and classification guidelines"
OP99,"Manage ""Special categories of data"" attributes in Business Glossary"
OP100,"Periodically or trigger a review of ""Special categories of data"" classification"
OP101,"Tag data (in systems) with ""Special categories of data"" attribute"
OP102,"Identify data that must be managed as ""Data relating to criminal conviction"""
OP103,"Define ""Data relating to criminal conviction"" attributes and classification guidelines"
OP104,"Manage ""Data relating to criminal conviction"" attributes in Business Glossary"
OP105,"Periodically or trigger a review of ""Data relating to criminal conviction"" classification"
OP106,"Tag data (in systems) with ""Data relating to criminal conviction"" attribute"
OP107,"Identify data that must be managed as ""Public personal information"""
OP108,"Define ""Public Personal Information"" attributes and classification guidelines"
OP109,"Manage ""Public Personal Information"" attributes in Business Glossary"
OP110,"Periodically or trigger a review of ""Public Personal Information"" classification"
OP111,Tag project data fields with data classification attributes
OP112,Define data classification attribute value
OP114,Define enterprise guidelines for classifying AI models
OP115,Classify models
OP116,Define metadata classification schema for ethical sensitive data
OP117,Define procedures for the classification of ethically sensitive data
OP118,Communicate metadata differentiating ethical sensitive data to personnel
OP119,Classify ethical sensitive data
OP120,Analyze the dataset to identify ethically sensitive data
OP121,Request classification of data used by a project (if missing)
OP122,Attest that classification is defined for all project data
OP123,Define privacy classification requirements  
OP124,Define guidelines to classify personal information
OP125,Communicate personnel for personal information classification
OP126,Classify personal information
OP127,Approve the classification of personal information
OP136,Develop data criticality definition standards
OP137,Define guidelines and procedures to determine data criticality in context
OP138,Periodically audit the usage of data criticality definition
OP139,Assess criticality of data (In the lab)
OP2417,Assess criticality of data (In the field)
OP1894,Define and document critical data elements (In the lab)
OP2419,Define and document critical data elements (In the field)
OP1895,"Classify data according to sensitivity, criticality, and business value"
OP2636,Classify data according to archival value
OP140,Establish committees required to support CDE management
OP141,Define CDE guidelines and management requirements
OP142,Identify ownership of each CDE
OP143,Consolidate CDE in business glossary
OP144,Monitor adequate purpose and usage of CDEs
OP2418,Identify enterprise CDE used in the context of the project
OP145,Define data requirements for business continuity (In the field)
OP146,Identify critical information in the enterprise information inventory
OP2634,Define guidelines and procedures to determine the business and archival value of data
OP1688,Establish data stewardship council
OP1706,Define data steward requirements
OP1702,Define data stewardship processes
OP1734,Create an overall data stewardship roadmap
OP1689,Designate data stewards
OP1713,Provide data quality training to Data Stewards
OP1731,Create a stewardship reporting structure
OP1705,Define required tools for data stewardship
OP1737,Implement data stewardship portal
OP1738,Implement data stewardship wiki
OP1710,Train personnel for usage of data stewardship tools
OP1697,Designate responsible party for data quality rules
OP1698,Define guidelines for managing data quality rules
OP327,Define data quality rules (In the lab and In the field)
OP328,Communicate data business rules to relevant stakeholders
OP329,"Refine or adjust data quality (business) rules after data discovery, profiling or assessment"
OP2024,Document data quality rules as metadata
OP361,Define data transformation guidelines and procedures
OP362,Define data transformation rules
OP1720,Define data transformation workflow
OP363,Communicate data transformation rules
OP364,Train employees for consistent data transformation
OP1581,Define aggregation rules for data in a specific context
OP1582,Define roles and responsibilities to aggregate data
OP2875,Document data transformation processes
OP365,Document data transformation processes (In the lab)
OP2198,Document data transformation processes (In the field)
OP366,Review and approve automated data transformation processes
OP367,Review and approve manual data transformation processes
OP368,Conduct periodic audit of data transformation documentation
OP1583,Monitor aggregated data for a specific context
OP1899,Document data enhancement usage
OP1900,Assess the usage of data enhancement
OP197,Define an input data management standard
OP198,Record criteria for data acquisition
OP199,Enable accessibility of data lineage and metadata for data source identification
OP21,Define permissible values  
OP22,Request changes to permissible values
OP23,Communicate changes in permissible values to system owners
OP24,Detect unpermitted values
OP25,Review and approve value domains of project related data
OP2381,Attest / demonstrate that only permissible data values / approved value domains are used
OP71,Define guidelines for acceptable value domains for ethical sensitive data
OP72,Attest that value domain of a new ethical sensitive business term has acceptable values
OP73,Periodically examine that value domains of ethical sensitive business terms have acceptable values
OP8,Document data requirements using business terms
OP2691,Define Information Assurance requirements
OP1948,Assess enterprise data requirements
OP1962,Translate data requirements into business element requirements
OP1963,Translate business element requirements into physical data elements
OP1949,Review restrictions related to business data requirements
OP1951,Define business processes
OP1964,Define critical data for business processes
OP1965,Review data architecture and business architecture alignment
OP2179,Define data sovereignty standards
OP2180,Define data sovereignty requirements and restrictions
OP2181,Establish data sovereignty rules
OP2182,Track data sovereignty metadata capture
OP2183,Integrate sovereignty requirements in data sharing agreements
OP2184,Establish data sovereignty controls
OP2358,Analyze data sovereignty requirements that may apply to the project
OP153,Create a gold standard for data labeling
OP154,Train observers for gold standard
OP155,Define data labeling guidelines and procedures
OP156,Define and approve dataset annotation taxonomy
OP157,Use approved annotation taxonomy
OP158,Monitor annotation taxonomy usage
OP131,Create data sensitivity labels
OP132,Define autolabeling rules
OP2193,Implement sensitivity labels
OP133,Review and validate dataset tagging
OP206,Demonstrate agility improvements and collaboration
OP207,Demonstrate the reduction of risks/costs through data lineage
OP208,Review all business & data transformation
OP226,Define guidelines and procedures to maintain data lineage
OP2359,Define processes to maintain data lineage (In the lab and In the field)
OP227,Define roles and responsibilities to maintain data lineage
OP228,Demonstrate that DL maintenance reflects org changes
OP229,Update data lineage based on triggering factors
OP230,Document changes to existing data lineage
OP2712,Implement processes and technologies to track and document data throughout the AI system's lifecycle
OP1952,Identify logical data domains
OP1967,Designate data domain owners
OP1968,Designate authoritative data domains
OP1969,Define guidelines for the usage of authoritative domain
OP1955,Verify authoritative data domain
OP2056,Establish data repository inventory
OP2057,Map data domains to physical repositories
OP2058,Verify data repository inventory periodically
OP1953,Define policy for authoritative provisioning point usage  
OP209,Identify source systems
OP210,Establish data lineage standards
OP211,Train personnel for data lineage
OP212,Implement standards to monitor data lineage definition
OP213,Audit compliance to data lineage standards periodically
OP214,Document client filtering ETL 
OP215,Document source-system diagrams and data flow
OP216,Document operational and system procedures
OP217,Document service level agreements
OP218,Produce a control report
OP219,Document TM ETL
OP220,Create a TM source-system diagrams
OP2584,Identify applicable regulation standards or internal policies regarding data lineage
OP221,Analyze data lineage regulatory requirements
OP2360,Review and approve data lineage requirements
OP222,Define events that trigger master list and lineage updates
OP223,Produce AML systems master list
OP224,Attest that required AML systems are covered by DL
OP237,Determine who can access and/or change AML DL
OP238,Manage who can access and/or change ALM DL
OP2866,List sources for data
OP2303,"List sources for data used ""In the lab"""
OP2320,"List sources for data used ""In the field"""
OP178,"Document provenance of business terms used ""In the Lab"""
OP225,Define data lineage for data elements
OP181,"Attest that the provenance of business terms used ""In the Lab"" has been documented and is approved"
OP182,"Document provenance of business terms used ""In the Field"""
OP184,"Attest that the provenance of business terms used ""In the Field"" has been documented and is approved"
OP185,Trigger the process to reassess risks based on the system change
OP186,Define data lineage strategies in enterprise policy
OP187,Implement the defined data lineage strategies
OP188,Periodically audit the implementation of data lineage strategies
OP189,Establish data provenance record for models
OP192,Document data provisioning processes
OP1893,Assess data dependencies and interconnectivities
OP190,Periodically audit the data provenance record
OP239,Validate data authorship
OP2060,Develop Enterprise Data Model (EDM)
OP2061,Review and approve EDM
OP2062,Define conceptual models for enterprise data domains
OP2063,Define the logical models for enterprise data domains
OP2064,Verify conceptual and logical data models
OP2065,Establish data taxonomy schemes
OP2066,Define policy for data model and taxonomy usage  
OP2067,Establish physical data model
OP2068,Develop enterprise data flow diagrams
OP231,Demonstrate that metadata is available
OP232,Validate access to required transformation metadata
OP233,Extract metadata included in AML data lineage
OP200,Access to glossary/physical mapping
OP201,Map glossary terms and physical terms
OP202,Review and approve glossary/physical terms mapping accuracy
OP203,Verify availability of metadata definitions
OP204,Produce definitions for all metadata
OP205,Align business terms with physical elements
OP240,Conduct periodic audit of data lineage
OP245,Inventory physical devices and systems within the organization
OP246,Inventory software platforms and applications within the organization
OP247,Map organizational communication and data flows
OP248,Catalog external information systems
OP249,"Prioritize resources based on their classification, criticality, and business value"
OP250,Establish cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders
OP251,Request addition of a new system in enterprise system inventory
OP252,Add a new system to the enterprise system inventory
OP253,Define guidelines and procedures to decommission systems
OP254,Conduct periodic assessment of the state of decommissioned systems
OP172,Inventory systems involved in model building
OP173,"Consult inventory of the systems involved ""In the lab"""
OP174,"Attest that the inventory of all systems feeding and used ""In the lab"" has been completed and approved"
OP175,Inventory systems involved in model governance (operational environments)
OP176,Consult inventory of the systems involved in model governance (In the field)
OP177,Attest that the inventory of all systems feeding and used for model governance (In the field) has been completed and approved
OP2789,Define guidelines and procedures to update and maintain the enterprise data inventory
OP2790,Update the enterprise data inventory
OP2642,Update inventory of data and information resources
OP2754,Define update schedule and procedures for project data
OP241,Create an enterprise data inventory
OP242,Inventory data throughout organization's systems
OP2640,Inventory data and information resources
OP1575,Train personnel on extracting and loading data procedures
OP2991,Establish and maintain corporate repositories
OP2992,Define and document policies and procedures for data and information repositories
OP2993,Establish data and information access and security protocols for the repositories
OP2994,Establish a process for updating and maintaining the data and information repositories
OP2995,Develop a plan for the storage and backup of data and information repositories
OP2996,Monitor the KPIs associated with the data and information repositories maintenance
OP2997,Implement privacy and security requirements for data repositories
OP1201,Determine required license types
OP2606,Establish processes to store and safeguard software components
OP1801,Establish safeguards for proprietary software components
OP2607,Store all released versions of algorithm and software components
OP1802,Establish provisions for access to software components
OP2844,Analyse validity of licences on IP and technologies related to data and models
OP2845,Attest to the validity of licences on IP and technologies related to data and models
OP2871,"Assess data eligibility to being released as ""open data"""
OP2872,Implement the conversion protocol(s) for data and information identified for release
OP2873,Establish open data and open information requirements in the context of the project
OP2633,"Define Open Data policy, guidelines, and procedures  "
OP2787,Define guidelines and procedures for the periodic identification of high value data
OP2638,Define guidelines and procedures for the release / publishing of data
OP2635,Create a Data & Information Release Plan
OP2643,Implement the Data and Information Release Plan
OP2185,Establish Open Government Implementation Plan
OP2644,Monitor compliance to the Directive on Open Government
OP2186,Define Open Data scope  
OP2370,Define Open Data scope and requirements in project context  
OP2187,Define Open Information scope  
OP2829,Define guidelines and procedures for the monitoring of Open Data Portal
OP2772,Monitor Open Government Portal resource page
OP2767,Identify high value data to be released (enterprise)
OP2768,Identify high value data to be released (programs/sectors)
OP2641,Assess priority for the release of data
OP2769,Assess readiness of data to be released
OP2877,Assess appropriateness to release / publish data
OP2878,Attest to the appropriateness of the data being released / published
OP2637,Define conversion protocol(s) for data and information identified for release
OP2770,Validate the eligibility of data for release (programs/sectors)
OP2796,Provide support LoB in validating eligibility of data for release
OP2188,Define accessible and reusable formats for Open Data
OP2189,Format open data and information
OP2830,Validate conformity to criteria for publication / release of data (Open Government Portal)
OP2833,Validate conformity to criteria for publication / release of data (Except Open Government Portal)
OP2831,Define criteria for the release of data on Open Government Portal
OP2832,Define criteria for the release of data on non-OG platforms
OP2823,Review and decision on data for release (Open Government)
OP2824,Review and decision on data for release (Non-Open Government)
OP2825,Submit request for OG publication
OP2826,Submit request for non-OG publication
OP2867,Submit request to be exempted of publishing on the Open Government Portal
OP2868,Review and decision on Open Government Portal examption requests
OP2190,Publish data on the Open Government Portal
OP2828,Publish data on publication platforms (except Government Portal)
OP2834,Expose metadata of released / published data to internal and external stakeholders
OP2771,Define Data Lifecycle Agreement for data to be released
OP2773,Update released data as per Data Lifecycle Agreement
OP2921,Make data and information discoverable through the open government portal
OP2846,Define clear roles and responsibilities for the released / published data
OP2840,Identify legal requirements related the data being released or published
OP2841,Attest to the legality of the release / publication of data
OP2842,Analyse contractual requirements regarding data being released or published
OP2843,Attest that the organization has the permission to release or publish a dataset
OP2876,Attest that the release / publishing is compliant to policies and directives
OP2894,Establish criteria to determine when to reuse or acquire new data to support departmental program or service
OP2895,Establish data sharing protocols in alignment with Open Government and digital standards
OP2850,Request documentation from data provider
OP2851,Review and validate data provider's documentation
OP2852,Confirm rights to use externally sourced data
OP2631,"Define guidelines, procedure and templates for the creation of data sharing agreements"
OP1982,Draft data sharing agreements
OP1983,Establish DSA review and update process
OP2090,Approve the data sharing agreements
OP2091,Validate fit-for-purpose data
OP1984,Monitor adherence to data sharing agreements
OP2801,Communicate data sharing agreement to the commission
OP2802,Communicate non-adherence to data sharing agreement to the commission
OP2815,Communicate data sharing agreement to regulatory stakeholders
OP2816,Publish a summary of data sharing agreement
OP2822,Establish a data sharing contract or agreement for PI disclosure to a third party
OP2912,Establish processes to enable data sharing and reuse
OP2913,Develop data sharing and reuse policies and procedures that align with legal and regulatory requirements
OP2914,Implement processes to enable data sharing and reuse
OP2915,Establish data sharing governance structures and decision-making processes for datasharing and reuse
OP2916,Adopt common data standards to enable effective sharing and reuse
OP2917,Establish mechanism to leverage the Canadian Digital Exchange Platform (CDXP)
